Title,Corresponding author,country,institute,Year,Sample Name,Pt at% in Metal Element,Pd at% in metal element,Au at% in Metal Element,Ir at% in metal element,Ru at% in metal element,Ni at% in Metal Element,Co at% in Metal Element,Fe at% in metal element,Mn at% in metal element,Zn at% in metal element,Cu at% in Metal Element,Ti at% in metal element,Cr at% in metal element,Mo at% in metal element,Ag at% in metal element,V at% in metal element,Sc at% in metal element,W at% in metal element,Os at% in metal element,Ga at% in metal element,Total Metal Mass Ratio wt%,N at%,Sn at%,S at%,O at%,Ti at%,Ta at%,Nb at%,Si at%,W at%,C wt%,Particle Diameter (nm),Particle variance,carbon substrate type,carbon particle diameter(nm),Support BET Surface Area(m2/g),special sturcture,particle,nanowire,core-shell,Wet Reduction Temperature (⊥),Wet Reduction Time (min),mircrowave(0/1),Reducing agent( chemical name in english),polyhydric alcohols,heat reduction,inorganic reducing agent,organic reducing agent,pH,Annealing Temperature (⊥),Annealing Time (h),Atomosphere h2,Atomosphere inert,Electrochemical Active Surface Area (m2/g),Catalyst Mass Activity (mA mg-1),Catalyst Specific Activity (mA cm-2),Half wave potential ㄗV vsRHEㄘ,Onset Potential ㄗV vsRHEㄘ,ADT cycles,Reduce in half wave potential  mV,Reduce in MA/ mA mg-1,Reduce in SA/mA cm-2,I/C Ratio(Ionomer/Catalyst),Active Area (cm2),Cathode Platinum Loading (mgPt cm-2),Anode Platinum Loading(mgPt cm-2),Anodic Catalyst Type x wt% Pt/C,Membrane,Membrane Thickness (米m),Hot Press Temperature (⊥),Hot Press Time (min),Hot Press Pressure (Mpa),Humidity %,GDE for 1/CCM for 0,Cell Temperature (⊥),Flowing Rate of Anode Gas (H2) (ml min-1),Flowing Rate of Cathode Gas(O2/air) (ml min-1),stoichiometry/anode,stoichiometry/cathode,stoich to flow anode,stoich to flow cathode,Backpressure (Mpa),"Current decay at 0.6V(ma,cm2)",Cathode Gas Oxygen Ratio,Maximum Power Density mW cm-2,MPD caculated,qualified,Open Circuit Voltage V,Voltage 100mA cm0,Voltage 200mA cm0,Voltage 300mA cm0,Voltage 400mA cm0,Voltage 500mA cm0,Voltage 600mA cm0,Voltage 700mA cm0,Voltage 800mA cm0,Voltage 900mA cm0,Voltage 1000mA cm0,Voltage 1100mA cm0,Voltage 1200mA cm0,Voltage 1300mA cm0,Voltage 1400mA cm0,Voltage 1500mA cm0,Voltage 1600mA cm0,Voltage 1700mA cm0,Voltage 1800mA cm0,Voltage 1900mA cm0,Voltage 2000mA cm0,Voltage 2100mA cm0,Voltage 2200mA cm0,Voltage 2300mA cm0,Voltage 2400mA cm0,Voltage 2500mA cm0,Voltage 2600mA cm0,Voltage 2700mA cm0,Voltage 2800mA cm0,Voltage 2900mA cm0,Voltage 3000mA cm0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Microwave assisted, facile synthesis of Pt/CNT catalyst for proton exchange membrane fuel cell application",ShaneethMuliankeezhu,India,Vikram Sarabhai Space Centre,2017,Pt/CNT-MWH,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,80,2.7,,CNTs,,41.4,none,1,0,0,70,240,0,NaBH4,0,0,1,0,12,25,0,0,0,70,225,0.321428571,,,,,,,,1,0.5,0.5,20,nafion 115,75,125,10,,100,1,50,,,,,,,0,,1,370,360,0,0.949,0.795,0.72,0.67,0.62,0.595,0.555,0.51,0.45,0.355,0.235,0.12685,0.03813,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,79.5,144,201,248,297.5,333,357,360,319.5,235,139.535,45.756,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,360
"Microwave assisted, facile synthesis of Pt/CNT catalyst for proton exchange membrane fuel cell application",ShaneethMuliankeezhu,India,Vikram Sarabhai Space Centre,2017,Pt/CNT-CH,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,80,3.8,,CNTs,,57.9,none,1,0,0,80,5,0,NaBH4,0,0,1,0,12,25,0,0,0,48,225,0.46875,,,,,,,,1,0.5,0.5,20,nafion 115,75,125,10,,100,1,50,,,,,,,0,,1,273,273,0,0.993,0.7,0.615,0.56,0.515,0.49,0.445,0.39,0.315,0.23,0.15218,0.08647,0.03025,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,70,123,168,206,245,267,273,252,207,152.18,95.117,36.3,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,273
Durability investigation and performance study of hydrothermal synthesized platinum-multi walled carbon nanotube nanocomposite catalyst for proton exchange membrane fuel cell,Soosan Rowshanzamir,Iran,Iran University of Science and Technology,2017,Pt/MWCNT,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.374,0,0,0,0,0,0,0,0,0,80.452,7,,CNTs,,36.46,none,1,0,0,140,300,0,glycerol,1,0,0,0,9,25,0,0,0,36.46,225,0.617114646,,,,,,,,5,0.2,0.2,,nafion 117,175,120,2.5,6,100,0,80,150,300,1,2,150,300,0,,1,160,154.5,0,0.95,0.765,0.665,0.515,0.355,0.145,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,76.5,133,154.5,142,72.5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,154.5
Pt-Pd nanodendrites as oxygen reduction catalyst in polymer-electrolyte-membrane fuel cell,Chen Shengli,china,Wuhan University,2017,Pt-Pd NDs/C,51.7,48.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3,0,0,0,0,0,0,0,0,0,80.7,3.1,,XC-72R,30,230,nanodendrite,0,1,0,170,300,0,oleylamine,0,0,0,1,7,25,0,0,0,92.4,402,0.435064935,0.905,1,,,,,,,0.199,0.3,20,nafion 211,25,,,,100,1,80,150,150,,,,,0.1,,1,1275,1335,1,0.935,0.835,0.8,0.775,0.755,0.735,0.715,0.705,0.695,0.68,0.665,0.65,0.64,0.63,0.615,0.6,0.595,0.58,0.57,0.56,0.55,0.535,0.525,0.515,0.5,0.495,0.485,0.475,0.465,0.455,0.445,83.5,160,232.5,302,367.5,429,493.5,556,612,665,715,768,819,861,900,952,986,1026,1064,1100,1123.5,1155,1184.5,1200,1237.5,1261,1282.5,1302,1319.5,1335,1335
Ternary PtRuFe nanoparticles supported N-doped graphene as an efficient bifunctional catalyst for methanol oxidation and oxygen reduction reactions,Yun Suk Huh,Korea,Inha University,2017,PtRuFe/NG,22.3,0,0,32,0,0,0,45.6,0,0,0,0,0,0,0,0,0,0,0,0,22.06,8.09,0,0,0,0,0,0,0,0,77.94,2.7,,nitrogen-doped graphene,,600,none,1,0,0,198,1.3,1,ethylene glycol,1,0,0,0,11,25,0,0,0,96,37.74,0.0393125,0.8,0.9,,,,,,25,0.5,0.25,,nafion 117,175,110,2,10,100,1,40,100,150,,,,,0,,1,525,525,0,0.85,0.65,0.625,0.59,0.57,0.55,0.535,0.51,0.49,0.47,0.45,0.43,0.415,0.385,0.365,0.35,0.325,0.3,0.275,0.245,0.215,0.18656,0.16092,0.1377,0.11657,0.09725,0.07952,0.0632,0.04812,0.03415,0.02117,65,125,177,228,275,321,357,392,423,450,473,498,500.5,511,525,520,510,495,465.5,430,391.776,354.024,316.71,279.768,243.125,206.752,170.64,134.736,99.035,63.51,525
Ternary PtRuFe nanoparticles supported N-doped graphene as an efficient bifunctional catalyst for methanol oxidation and oxygen reduction reactions,Yun Suk Huh,Korea,Inha University,2017,PtRuFe/NG,22.3,0,0,32,0,0,0,45.6,0,0,0,0,0,0,0,0,0,0,0,0,22.06,8.09,0,0,0,0,0,0,0,0,77.94,2.7,,nitrogen-doped graphene,,600,none,1,0,0,198,1.3,1,ethylene glycol,1,0,0,0,11,25,0,0,0,96,37.74,0.0393125,0.8,0.9,,,,,,25,0.5,0.25,,nafion 117,175,110,2,10,100,1,60,100,150,,,,,0,,1,648,648,0,0.88,0.73,0.655,0.62,0.6,0.59,0.57,0.55,0.545,0.525,0.51,0.495,0.475,0.455,0.43,0.415,0.4,0.38,0.36,0.34,0.315,0.29,0.27,0.245,0.225,0.2,0.175,0.15119,0.12955,0.10978,0.09167,73,131,186,240,295,342,385,436,472.5,510,544.5,570,591.5,602,622.5,640,646,648,646,630,609,594,563.5,540,500,455,408.213,362.74,318.362,275.01,648
Ternary PtRuFe nanoparticles supported N-doped graphene as an efficient bifunctional catalyst for methanol oxidation and oxygen reduction reactions,Yun Suk Huh,Korea,Inha University,2017,PtRuFe/NG,22.3,0,0,32,0,0,0,45.6,0,0,0,0,0,0,0,0,0,0,0,0,22.06,8.09,0,0,0,0,0,0,0,0,77.94,2.7,,nitrogen-doped graphene,,600,none,1,0,0,198,1.3,1,ethylene glycol,1,0,0,0,11,25,0,0,0,96,37.74,0.0393125,0.8,0.9,,,,,,25,0.5,0.25,,nafion 117,175,110,2,10,100,1,80,100,150,,,,,0,,1,935,935,0,0.85,0.775,0.725,0.7,0.68,0.67,0.66,0.65,0.645,0.63,0.62,0.6,0.59,0.57,0.55,0.53,0.51,0.5,0.49,0.475,0.46,0.44,0.425,0.405,0.38,0.36,0.335,0.285,0.245,0.20738,0.17398,77.5,145,210,272,335,396,455,516,567,620,660,708,741,770,795,816,850,882,902.5,920,924,935,931.5,912,900,871,769.5,686,601.402,521.94,935
Ternary PtRuFe nanoparticles supported N-doped graphene as an efficient bifunctional catalyst for methanol oxidation and oxygen reduction reactions,Yun Suk Huh,Korea,Inha University,2017,PtRuFe/rGO,18.9,0,0,28.1,0,0,0,52.9,0,0,0,0,0,0,0,0,0,0,0,0,21.53,0,0,0,0,0,0,0,0,0,78.47,3.1,,graphene,,600,none,1,0,0,198,1.3,1,ethylene glycol,1,0,0,0,11,25,0,0,0,47,39.6,0.084255319,0.78,0.9,,,,,,25,0.5,0.25,,nafion 117,175,110,2,10,100,1,80,100,150,,,,,0,,1,712.5,712.5,0,0.8,0.67,0.65,0.64,0.62,0.605,0.595,0.575,0.55,0.54,0.525,0.51,0.495,0.48,0.465,0.44,0.425,0.405,0.395,0.375,0.35,0.325,0.3,0.24,0.175,0.11485,0.06305,0.01798,0.01,0.01,0.01,67,130,192,248,302.5,357,402.5,440,486,525,561,594,624,651,660,680,688.5,711,712.5,700,682.5,660,552,420,287.125,163.93,48.546,28,29,30,712.5
Rapid microwave-assisted solvothermal synthesis of shape-controlled Pt-Ni alloy nanoparticles for PEMFC,Haixu Yan,china,Tongji University,2018,Pt-Ni/C,38.3,0,0,0,0,61.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6,0,0,0,0,0,0,0,0,0,73.4,8.5,,XC-72R,30,230,none,1,0,0,198,0.67,1,ethylene glycol,1,0,0,0,10,25,0,0,0,24.3,1210,4.979423868,0.935,1.06,10000,15,,,,50,0.4,0.2,20,nafion 211,25,,,,100,0,80,270,375,1.8,2.5,270,375,0,,0.21,364,364,0,0.96,0.8,0.74,0.7,0.65,0.61,0.555,0.51,0.455,0.395,0.32,0.25098,0.19215,0.1414,0.09719,0.05831,0.02387,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,80,148,210,260,305,333,357,364,355.5,320,276.078,230.58,183.82,136.066,87.465,38.192,17,18,19,20,21,22,23,24,25,26,27,28,29,30,364
Nitrogen doped mesoporous carbon supported Pt electrocatalyst for oxygen reduction reaction in proton exchange membrane fuel cells,G. Ranga Rao,India,Indian Institute of Technology Madras,2018,Pt/NMC-1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11.6,0,0,0,0,0,0,0,0,70,1.9,,home-made nitrogen-doped carbon,,,none,1,0,0,120,1440,0,ethylene glycol,1,0,0,0,10,25,0,0,0,73,225,0.308219178,0.702,0.81,,,,,,30,0.5,0.25,20,nafion 212,50,130,2.5,9.8,95,1,70,500,1000,,,0,0,0,,1,522.5,522.5,0,0.908,0.83,0.78,0.74,0.705,0.675,0.64,0.605,0.58,0.545,0.505,0.475,0.425,0.4,0.36,0.33,0.29,0.25,0.2,0.175,0.145,0.11656,0.09092,0.0677,0.04657,0.02725,0.01,0.01,0.01,0.01,0.01,83,156,222,282,337.5,384,423.5,464,490.5,505,522.5,510,520,504,495,464,425,360,332.5,290,244.776,200.024,155.71,111.768,68.125,26,27,28,29,30,522.5
