Title,Corresponding author,country,institute,Year,Sample Name,Pt at% in metal element,Pd at% in metal element,Au at% in metal element,Ir at% in metal element,Ru at% in metal element,Ni at% in metal element,Co at% in metal element,Fe at% in metal element,Mn at% in metal element,Zn at% in metal element,Cu at% in metal element,Ti at% in metal element,Cr at% in metal element,Mo at% in metal element,Ag at% in metal element,V at% in metal element,Sc at% in metal element,W at% in metal element,Os at% in metal element,Ga at% in metal element,total metal mass ratio wt%,N at%,Sn at%,S at%,O at%,Ti at%,Ta at%,Nb at%,Si at%,W at%,C wt%,Particle diameter ㄗnmㄘ,Particle variance,carbon substrate type,carbon particle diameter(nm),support BET surface area(m2/g),special sturcture,particle,nanowire,core-shell,Reduction Temperature,Reduction Time/min,mircrowave(0/1),Reducing agent( chemical name in english),polyhydric alcohols,heat reduction,inorganic reducing agent,organic reducing agent,pH,Annealing Temperature,Annealing Time/h,Atomosphere h2,Atomosphere inert,ECSA m2/g,Mass Activity mA mg-1,Specific Activity mA cm-2,Half wave potential ㄗV vsRHEㄘ,Onset Potential ㄗV vsRHEㄘ,ADT cycles,Reduce in half wave potential  mV,Reduce in MA/ mA mg-1,Reduce in SA/mA cm-2,I/C Ratio(ionomer/catalyst),Area cm2,Cathodic Loading Amount mgPt cm-2,Anodic Platinum Loading Amount mgPt cm-2,Anodic catalyst type x wt% Pt/C,Membrane,membrane thickness,Hot Press Temperature,Hot Press Time min,Hot Press Pressure Mpa,Humidity %,GDE for 1,celltemp,Flowing rate of H2 ml min-1,flowing rate of cathode gas(O2/air),stoichiometry/anode,stoichiometry/cathode,stoich to flow anode,stoich to flow cathode,Back Pressure Mpa,"Current decay at 0.6V(ma,cm2)",Cathode gas oxygen ratio,Maximum Power Density mW cm-2,MPD caculated,qualified,Open Circuit Voltage V,Voltage 100mA cm0,Voltage 200mA cm0,Voltage 300mA cm0,Voltage 400mA cm0,Voltage 500mA cm0,Voltage 600mA cm0,Voltage 700mA cm0,Voltage 800mA cm0,Voltage 900mA cm0,Voltage 1000mA cm0,Voltage 1100mA cm0,Voltage 1200mA cm0,Voltage 1300mA cm0,Voltage 1400mA cm0,Voltage 1500mA cm0,Voltage 1600mA cm0,Voltage 1700mA cm0,Voltage 1800mA cm0,Voltage 1900mA cm0,Voltage 2000mA cm0,Voltage 2100mA cm0,Voltage 2200mA cm0,Voltage 2300mA cm0,Voltage 2400mA cm0,Voltage 2500mA cm0,Voltage 2600mA cm0,Voltage 2700mA cm0,Voltage 2800mA cm0,Voltage 2900mA cm0,Voltage 3000mA cm0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pt use,,Rand,Rand num,Year for plot
Studies on PEMFC electrocatalysts: Physicochemical characterization of homemade Pt/C electrocatalyst,Wei Xing,China,Tsinghua university,2003,Pt/C,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7,0,0,0,0,0,0,0,0,0,83.3,2.5,,XC-72R,30,230,none,1,0,0,100,,0,formaldehyde,0,0,0,1,7,25,0,0,0,101,225,0.222772277,,,,,,,,0.8,0.7,0.9,20,nafion 115,75,120,2,5,100,1,70,,,,,0,0,0.2,,1,571.518,571.518,0,1.04,0.82,0.78,0.74,0.7,0.67,0.65,0.63,0.6,0.57,0.53,0.49238,0.45898,0.42914,0.4023,0.37805,0.35602,0.33592,0.31751,0.30059,0.28497,0.27052,0.25711,0.24463,0.23299,0.2221,0.2119,0.20232,0.1933,0.18481,0.17679,82,156,222,280,335,390,441,480,513,530,541.618,550.776,557.882,563.22,567.075,569.632,571.064,571.518,571.121,569.94,568.092,565.642,562.649,559.176,555.25,550.94,546.264,541.24,535.949,530.37,571.518,1.224808317,1,0.313987531,-0.048457893,2002.951542
"CO tolerance electrocatalyst of PtRu-HxMeO3/C (Me= W, Mo) made by composite support method",B. Yi,China,Dalian Institute of Chemical PhysicsㄛChinese Academy of Sciences,2003,PtRu-HxMoO3/C,30.12520626,0,0,0,29.08126347,0,0,0,0,0,0,0,0,40.79353028,0,0,0,0,0,0,41.53962537,0,0,0,8.460374629,0,0,0,0,0,50,2.4,,XC-72R/oxide hybrid,30,230,none,1,0,0,80,,0,formaldehyde,0,0,0,1,7,25,0,0,0,117,217,0.185470085,,,,,,,,5,0.5,0.3,,nafion 112,50,,,,100,1,80,,,,,0,0,0.2,,1,1051.35,1051.35,1,,0.87,0.83,0.79,0.77,0.74,0.72,0.69,0.67,0.65,0.63,0.615,0.59,0.57,0.55,0.53,0.51086,0.49328,0.4771,0.46214,0.44827,0.43539,0.42338,0.41216,0.40166,0.3918,0.38254,0.37382,0.36559,0.35781,0.35045,87,166,237,308,370,432,483,536,585,630,676.5,708,741,770,795,817.376,838.576,858.78,878.066,896.54,914.319,931.436,947.968,963.984,979.5,994.604,1009.314,1023.652,1037.649,1051.35,1051.35,0.475579017,2,0.149296303,-0.103945623,2002.896054
"CO tolerance electrocatalyst of PtRu-HxMeO3/C (Me= W, Mo) made by composite support method",B. Yi,China,Dalian Institute of Chemical PhysicsㄛChinese Academy of Sciences,2003,PtRu/C,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,70,2.1,,XC-72R,30,230,none,1,0,0,80,,0,formaldehyde,0,0,0,1,7,25,0,0,0,133,217,0.163157895,,,,,,,,5,0.5,0.3,,nafion 112,50,,,,100,1,80,,,,,0,0,0.2,,1,1081.35,1081.35,1,,0.855,0.82,0.78,0.77,0.74,0.72,0.69,0.67,0.65,0.63,0.615,0.6,0.575,0.56,0.54,0.52086,0.50328,0.4871,0.47214,0.45827,0.44539,0.43338,0.42216,0.41166,0.4018,0.39254,0.38382,0.37559,0.36781,0.36045,85.5,164,234,308,370,432,483,536,585,630,676.5,720,747.5,784,810,833.376,855.576,876.78,897.066,916.54,935.319,953.436,970.968,987.984,1004.5,1020.604,1036.314,1051.652,1066.649,1081.35,1081.35,0.462384982,3,0.484173008,-0.00396828,2002.996032
"CO tolerance electrocatalyst of PtRu-HxMeO3/C (Me= W, Mo) made by composite support method",B. Yi,China,Dalian Institute of Chemical PhysicsㄛChinese Academy of Sciences,2003,PtRu-HxWO3/C,35.63228256,0,0,0,34.39750049,0,0,0,0,0,0,0,0,0,0,0,0,29.97021695,0,0,44.51016576,0,0,0,5.489834241,0,0,0,0,0,50,2.1,,XC-72R/oxide hybrid,30,230,none,1,0,0,80,,0,formaldehyde,0,0,0,1,7,25,0,0,0,133,217,0.163157895,,,,,,,,5,0.5,0.3,,nafion 112,50,,,,100,1,80,,,,,0,0,0.2,,1,1111.35,1111.35,1,,0.88,0.84,0.8,0.775,0.75,0.725,0.705,0.68,0.665,0.64,0.625,0.61,0.58,0.57,0.55,0.53086,0.51328,0.4971,0.48214,0.46827,0.45539,0.44338,0.43216,0.42166,0.4118,0.40254,0.39382,0.38559,0.37781,0.37045,88,168,240,310,375,435,493.5,544,598.5,640,687.5,732,754,798,825,849.376,872.576,894.78,916.066,936.54,956.319,975.436,993.968,1011.984,1029.5,1046.604,1063.314,1079.652,1095.649,1111.35,1111.35,0.449903271,4,0.122037366,-0.116486231,2002.883514
CO tolerance on PtMo/C electrocatalysts prepared by the formic acid method,Edson A. Ticianelli,Brazil,Universidade de S?o Paulo,2003,PtMo/C,72,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,80,2.4,,XC-72R,30,230,none,1,0,0,80,,0,formic acid,0,0,1,0,7,80,1,0,1,55,225,0.409090909,,,,,,,0.55,,0.4,0.3357,20,nafion 115,75,125,2,98,100,1,85,,,,,0,0,0,,1,791.46,791.46,0,1.02,0.85,0.82,0.79,0.76,0.73,0.715,0.69,0.66,0.64,0.62,0.59,0.57,0.55,0.52,0.5,0.47,0.44,0.42,0.40086,0.38328,0.3671,0.35214,0.33827,0.32539,0.31338,0.30216,0.29166,0.2818,0.27254,0.26382,85,164,237,304,365,429,483,528,576,620,649,684,715,728,750,752,748,756,761.634,766.56,770.91,774.708,778.021,780.936,783.45,785.616,787.482,789.04,790.366,791.46,791.46,0.505395093,5,0.692409418,0.050269153,2003.050269
CO tolerance on PtMo/C electrocatalysts prepared by the formic acid method,Edson A. Ticianelli,Brazil,Universidade de S?o Paulo,2003,PtMo/C,78,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,80,3.1,,XC-72R,30,230,none,1,0,0,80,,0,formic acid,0,0,1,0,7,80,1,0,1,55,225,0.409090909,,,,,,,0.55,,0.4,0.35,20,nafion 115,75,125,2,98,100,1,85,,,,,0,0,0,,1,821.46,821.46,0,1.04,0.84,0.81,0.79,0.76,0.74,0.72,0.695,0.67,0.65,0.63,0.6,0.575,0.55,0.525,0.5,0.48,0.45,0.43,0.41086,0.39328,0.3771,0.36214,0.34827,0.33539,0.32338,0.31216,0.30166,0.2918,0.28254,0.27382,84,162,237,304,370,432,486.5,536,585,630,660,690,715,735,750,768,765,774,780.634,786.56,791.91,796.708,801.021,804.936,808.45,811.616,814.482,817.04,819.366,821.46,821.46,0.486937891,6,0.235518333,-0.072079335,2002.927921
Studies of carbon monoxide oxidation on carbon-supported platinum-osmium electrocatalysts,E. A. Ticianelli,Brazil,Universidade de S?o Paulo,2003,PtOs/C,89.7749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.22510972,0,20,0,0,0,0,0,0,0,0,0,80,2.8,,XC-72R,30,230,none,1,0,0,80,,0,formic acid,0,0,1,0,7,25,0,0,0,55,225,0.409090909,,,,,,,0.6286,,0.35,0.315,20,nafion 115,75,125,2,98,100,1,85,,,,,0,0,0,,1,1299.72,1299.72,1,1.02,0.83,0.8,0.76,0.73,0.7,0.68,0.66,0.64086,0.62328,0.6071,0.59214,0.57827,0.56539,0.55338,0.54216,0.53166,0.5218,0.51254,0.50382,0.49559,0.48781,0.48045,0.47347,0.46685,0.46055,0.45456,0.44885,0.44341,0.43821,0.43324,83,160,228,292,350,408,462,512.688,560.952,607.1,651.354,693.924,735.007,774.732,813.24,850.656,887.06,922.572,957.258,991.18,1024.401,1056.99,1088.981,1120.44,1151.375,1181.856,1211.895,1241.548,1270.809,1299.72,1299.72,0.26928877,7,0.638100536,0.03533862,2003.035339
In?uence of atomic ordering on the electrocatalytic activity of Pt每Co alloys in alkaline electrolyte and proton exchange membrane fuel cells,Arumugam Manthiram,United States,University of Texas at Austin,2004,Pt3Co/C,73.14049587,0,0,0,0,0,26.85950413,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,5.7,,XC-72R,30,230,none,1,0,0,,120,0,NaBH4,0,0,1,0,9,900,1,1,0,88,180,0.204545455,,,,,,,,5,0.9,1,,nafion 117,175,130,2,,100,1,90,,,,,0,0,0,,1,560,560,0,0.92,0.77,0.71,0.665,0.645,0.625,0.59,0.56,0.54,0.51,0.49,0.465,0.44,0.42,0.4,0.37,0.34156,0.31592,0.2927,0.27157,0.25225,0.23452,0.2182,0.20312,0.18915,0.17617,0.16407,0.15277,0.1422,0.13228,0.12296,77,142,199.5,258,312.5,354,392,432,459,490,511.5,528,546,560,555,546.496,537.064,526.86,515.983,504.5,492.492,480.04,467.176,453.96,440.425,426.582,412.479,398.16,383.612,368.88,560,1.607142857,8,0.211611072,-0.080084369,2003.919916
In?uence of atomic ordering on the electrocatalytic activity of Pt每Co alloys in alkaline electrolyte and proton exchange membrane fuel cells,Arumugam Manthiram,United States,University of Texas at Austin,2004,Pt3Co/C,73.14049587,0,0,0,0,0,26.85950413,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,5.5,,XC-72R,30,230,none,1,0,0,,720,0,ammonium hydroxide,0,0,1,0,9,900,1,1,0,88,180,0.204545455,,,,,,,,5,0.9,1,,nafion 117,175,130,2,,100,1,90,,,,,0,0,0,,1,756,756,0,0.98,0.83,0.77,0.74,0.72,0.7,0.68,0.65,0.63,0.61,0.59,0.57,0.55,0.53,0.51,0.49,0.47,0.44,0.42,0.39,0.37,0.34,0.32,0.30086,0.28328,0.2671,0.25214,0.23827,0.22539,0.21338,0.20216,83,154,222,288,350,408,455,504,549,590,627,660,689,714,735,752,748,756,741,740,714,704,691.978,679.872,667.75,655.564,643.329,631.092,618.802,606.48,756,1.19047619,9,0.690312062,0.049673509,2004.049674
In?uence of atomic ordering on the electrocatalytic activity of Pt每Co alloys in alkaline electrolyte and proton exchange membrane fuel cells,Arumugam Manthiram,United States,University of Texas at Austin,2004,Pt3Co/C,63.16120907,0,0,0,0,0,36.83879093,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,5.4,,XC-72R,30,230,none,1,0,0,,720,0,ammonium hydroxide,0,0,1,0,9,900,1,1,0,88,180,0.204545455,,,,,,,,5,0.85,1,,nafion 117,175,130,2,,100,1,90,,,,,0,0,0,,1,714,714,0,0.98,0.84,0.795,0.765,0.73,0.71,0.68,0.66,0.64,0.61,0.58,0.56,0.535,0.51,0.49,0.46,0.44,0.42,0.39,0.36,0.34,0.31,0.29,0.27086,0.25328,0.2371,0.22214,0.20827,0.19539,0.18338,0.17216,84,159,229.5,292,355,408,462,512,549,580,616,642,663,686,690,704,714,702,684,680,651,638,622.978,607.872,592.75,577.564,562.329,547.092,531.802,516.48,714,1.19047619,10,0.854342803,0.105524258,2004.105524
