Title,Corresponding author,country,institute,Year,Sample Name,Pt at% in metal element,Pd at% in metal element,Au at% in metal element,Ir at% in metal element,Ru at% in metal element,Ni at% in metal element,Co at% in metal element,Fe at% in metal element,Mn at% in metal element,Zn at% in metal element,Cu at% in metal element,Ti at% in metal element,Cr at% in metal element,Mo at% in metal element,Ag at% in metal element,V at% in metal element,Sc at% in metal element,W at% in metal element,Os at% in metal element,Ga at% in metal element,total metal mass ratio wt%,N at%,Sn at%,S at%,O at%,Ti at%,Ta at%,Nb at%,Si at%,W at%,C wt%,Particle diameter ㄗnmㄘ,Particle variance,carbon substrate type,carbon particle diameter(nm),support BET surface area(m2/g),special sturcture,particle,nanowire,core-shell,Reduction Temperature,Reduction Time/min,mircrowave(0/1),Reducing agent( chemical name in english),polyhydric alcohols,heat reduction,inorganic reducing agent,organic reducing agent,pH,Annealing Temperature,Annealing Time/h,Atomosphere h2,Atomosphere inert,ECSA m2/g,Mass Activity mA mg-1,Specific Activity mA cm-2,Half wave potential ㄗV vsRHEㄘ,Onset Potential ㄗV vsRHEㄘ,ADT cycles,Reduce in half wave potential  mV,Reduce in MA/ mA mg-1,Reduce in SA/mA cm-2,I/C Ratio(ionomer/catalyst),Area cm2,Cathodic Loading Amount mgPt cm-2,Anodic Platinum Loading Amount mgPt cm-2,Anodic catalyst type x wt% Pt/C,Membrane,membrane thickness,Hot Press Temperature,Hot Press Time min,Hot Press Pressure Mpa,Humidity %,GDE for 1,celltemp,Flowing rate of H2 ml min-1,flowing rate of cathode gas(O2/air),stoichiometry/anode,stoichiometry/cathode,stoich to flow anode,stoich to flow cathode,Back Pressure Mpa,"Current decay at 0.6V(ma,cm2)",Cathode gas oxygen ratio,Maximum Power Density mW cm-2,MPD caculated,qualified,Open Circuit Voltage V,Voltage 100mA cm0,Voltage 200mA cm0,Voltage 300mA cm0,Voltage 400mA cm0,Voltage 500mA cm0,Voltage 600mA cm0,Voltage 700mA cm0,Voltage 800mA cm0,Voltage 900mA cm0,Voltage 1000mA cm0,Voltage 1100mA cm0,Voltage 1200mA cm0,Voltage 1300mA cm0,Voltage 1400mA cm0,Voltage 1500mA cm0,Voltage 1600mA cm0,Voltage 1700mA cm0,Voltage 1800mA cm0,Voltage 1900mA cm0,Voltage 2000mA cm0,Voltage 2100mA cm0,Voltage 2200mA cm0,Voltage 2300mA cm0,Voltage 2400mA cm0,Voltage 2500mA cm0,Voltage 2600mA cm0,Voltage 2700mA cm0,Voltage 2800mA cm0,Voltage 2900mA cm0,Voltage 3000mA cm0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pt use,,Rand,Rand num,Year for plot
Low Pt loading high performance cathodes for PEM fuel cells,Zhigang Qi,United States,H Power Corporation,2003,Pt/C,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,60,3.1,,XC-72R,30,230,none,1,0,0,,,0,ethylene glycol,1,0,0,0,10,25,0,0,0,55,225,0.409090909,,,,,,,0.4286,10,0.387,1,20,nafion 112,50,130,3,,100,1,35,150,1500,1,10,150,1500,0,,0.21,520,520,0,1,0.84,0.79,0.76,0.725,0.69,0.66,0.63,0.599,0.56,0.52,0.47,0.42,0.3733,0.33239,0.29625,0.2641,0.2353,0.20936,0.18588,0.16452,0.14501,0.12711,0.11063,0.09542,0.08132,0.06823,0.05604,0.04465,0.034,0.02401,84,158,228,290,345,396,441,479.2,504,520,517,504,485.29,465.346,444.375,422.56,400.01,376.848,353.172,329.04,304.521,279.642,254.449,229.008,203.3,177.398,151.308,125.02,98.6,72.03,520,0.744230769,1,0.479967947,-0.005023403,2002.994977
Preparation of platinum-based electrode catalysts for low temperature fuel cell,Won-Ho Lee,Korea,LG Chem,2003,Pt/C,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.6,0,0,2.6,0,0,0,0,0,0,57.4,2.9,0.5,XC-72R,25,230,none,1,0,0,90,,0,formaldehyde,0,0,0,1,9,25,0,0,0,250,217,0.0868,,,,,,,,,0.34,0.17,40,nafion 115,75,,,,100,0,70,,,,,0,0,0,,0.21,558.796,558.796,0,0.93,0.815,0.79,0.76,0.74,0.71,0.68,0.66,0.625,0.58,0.54,0.5,0.46238,0.42898,0.39914,0.3723,0.34805,0.32602,0.30592,0.28751,0.27059,0.25497,0.24052,0.22711,0.21463,0.20299,0.1921,0.1819,0.17232,0.1633,0.15481,81.5,158,228,296,355,408,462,500,522,540,550,554.856,557.674,558.796,558.45,556.88,554.234,550.656,546.269,541.18,535.437,529.144,522.353,515.112,507.475,499.46,491.13,482.496,473.57,464.43,558.796,0.608451027,2,0.77808735,0.076574961,2003.076575
Low Pt loading high performance cathodes for PEM fuel cells,Zhigang Qi,United States,H Power Corporation,2003,Pt/C,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,80,3.1,,XC-72R,30,230,none,1,0,0,,,0,ethylene glycol,1,0,0,0,10,25,0,0,0,55,225,0.409090909,,,,,,,0.4286,10,0.332,1,20,nafion 112,50,130,3,,100,1,35,150,1500,1,10,150,1500,0,,0.21,504,504,0,0.97,0.82,0.77,0.73,0.69,0.66,0.62,0.57,0.53,0.48,0.43,0.3833,0.34239,0.30625,0.2741,0.2453,0.21936,0.19588,0.17452,0.15501,0.13711,0.12063,0.10542,0.09132,0.07823,0.06604,0.05465,0.044,0.03401,0.02462,0.01579,82,154,219,276,330,372,399,424,432,430,421.63,410.868,398.125,383.74,367.95,350.976,332.996,314.136,294.519,274.22,253.323,231.924,210.036,187.752,165.1,142.09,118.8,95.228,71.398,47.37,432,0.658730159,3,0.770249365,0.073966833,2003.073967
Low Pt loading high performance cathodes for PEM fuel cells,Zhigang Qi,United States,H Power Corporation,2003,Pt/C,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,60,3.1,,XC-72R,30,230,none,1,0,0,,,0,ethylene glycol,1,0,0,0,10,25,0,0,0,55,225,0.409090909,,,,,,,0.4286,10,0.306,1,20,nafion 112,50,130,3,,100,1,35,150,1500,1,10,150,1500,0,,0.21,490,490,0,1,0.835,0.79,0.76,0.725,0.69,0.66,0.62,0.58,0.54,0.49,0.44,0.3933,0.35239,0.31625,0.2841,0.2553,0.22936,0.20588,0.18452,0.16501,0.14711,0.13063,0.11542,0.10132,0.08823,0.07604,0.06465,0.054,0.04401,0.03462,83.5,158,228,290,345,396,434,464,486,490,484,471.96,458.107,442.75,426.15,408.48,389.912,370.584,350.588,330.02,308.931,287.386,265.466,243.168,220.575,197.704,174.555,151.2,127.629,103.86,490,0.624489796,4,0.776224211,0.075950324,2003.07595
Low Pt loading high performance cathodes for PEM fuel cells,Zhigang Qi,United States,H Power Corporation,2003,Pt/C,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,80,3.1,,XC-72R,30,230,none,1,0,0,,,0,ethylene glycol,1,0,0,0,10,25,0,0,0,55,225,0.409090909,,,,,,,0.4286,10,0.253,1,20,nafion 112,50,130,3,,100,1,35,150,1500,1,10,150,1500,0,,0.21,473,473,0,0.94,0.82,0.77,0.74,0.7,0.67,0.63,0.59,0.56,0.525,0.47,0.43,0.39238,0.35898,0.32914,0.3023,0.27805,0.25602,0.23592,0.21751,0.20059,0.18497,0.17052,0.15711,0.14463,0.13299,0.1221,0.1119,0.10232,0.0933,0.08481,82,154,222,280,335,378,413,448,472.5,470,473,470.856,466.674,460.796,453.45,444.88,435.234,424.656,413.269,401.18,388.437,375.144,361.353,347.112,332.475,317.46,302.13,286.496,270.57,254.43,473,0.534883721,5,0.73400446,0.062496949,2003.062497
Low Pt loading high performance cathodes for PEM fuel cells,Zhigang Qi,United States,H Power Corporation,2003,Pt/C,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,60,3.1,,XC-72R,30,230,none,1,0,0,,,0,ethylene glycol,1,0,0,0,10,25,0,0,0,55,225,0.409090909,,,,,,,0.4286,10,0.217,1,20,nafion 112,50,130,3,,100,1,35,150,1500,1,10,150,1500,0,,0.21,459,459,0,1,0.83,0.78,0.75,0.72,0.68,0.64,0.6,0.56,0.51,0.45,0.39431,0.3461,0.30394,0.26677,0.23375,0.20423,0.17766,0.15364,0.13182,0.1119,0.09364,0.07685,0.06136,0.04701,0.0337,0.02131,0.01,0.01,0.01,0.01,83,156,225,288,340,384,420,448,459,450,433.741,415.32,395.122,373.478,350.625,326.768,302.022,276.552,250.458,223.8,196.644,169.07,141.128,112.824,84.25,55.406,27,28,29,30,459,0.472766885,6,0.04046378,-0.174532932,2002.825467
Low Pt loading high performance cathodes for PEM fuel cells,Zhigang Qi,United States,H Power Corporation,2003,Pt/C,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,60,3.1,,XC-72R,30,230,none,1,0,0,,,0,ethylene glycol,1,0,0,0,10,25,0,0,0,55,225,0.409090909,,,,,,,0.4286,10,0.147,1,20,nafion 112,50,130,3,,100,1,35,150,1500,1,10,150,1500,0,,0.21,392,392,0,1,0.81,0.76,0.72,0.68,0.64,0.6,0.54,0.49,0.425,0.36485,0.31305,0.26798,0.2284,0.19337,0.16215,0.13415,0.10889,0.08599,0.06513,0.04606,0.02855,0.01242,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,81,152,216,272,320,360,378,392,382.5,364.85,344.355,321.576,296.92,270.718,243.225,214.64,185.113,154.782,123.747,92.12,59.955,27.324,23,24,25,26,27,28,29,30,392,0.375,7,0.658028808,0.040708932,2003.040709
Low Pt loading high performance cathodes for PEM fuel cells,Zhigang Qi,United States,H Power Corporation,2003,Pt/C,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,80,3.1,,XC-72R,30,230,none,1,0,0,,,0,ethylene glycol,1,0,0,0,10,25,0,0,0,55,225,0.409090909,,,,,,,0.4286,10,0.138,1,20,nafion 112,50,130,3,,100,1,35,150,1500,1,10,150,1500,0,,0.21,484,484,0,0.94,0.82,0.77,0.73,0.69,0.66,0.625,0.59,0.56,0.525,0.48,0.44,0.4,0.36238,0.32898,0.29914,0.2723,0.24805,0.22602,0.20592,0.18751,0.17059,0.15497,0.14052,0.12711,0.11463,0.10299,0.0921,0.0819,0.07232,0.0633,82,154,219,276,330,375,413,448,472.5,480,484,480,471.094,460.572,448.71,435.68,421.685,406.836,391.248,375.02,358.239,340.934,323.196,305.064,286.575,267.774,248.67,229.32,209.728,189.9,484,0.285123967,8,0.096380907,-0.13024523,2002.869755
Low Pt loading high performance cathodes for PEM fuel cells,Zhigang Qi,United States,H Power Corporation,2003,Pt/C,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,80,3.1,,XC-72R,30,230,none,1,0,0,,,0,ethylene glycol,1,0,0,0,10,25,0,0,0,55,225,0.409090909,,,,,,,0.4286,10,0.12,1,20,nafion 112,50,130,3,,100,1,35,150,1500,1,10,150,1500,0,,0.21,520,520,0,0.97,0.82,0.77,0.735,0.7,0.67,0.65,0.63,0.58,0.55,0.52,0.47,0.43,0.39238,0.35898,0.32914,0.3023,0.27805,0.25602,0.23592,0.21751,0.20059,0.18497,0.17052,0.15711,0.14463,0.13299,0.1221,0.1119,0.10232,0.0933,82,154,220.5,280,335,390,441,464,495,520,517,516,510.094,502.572,493.71,483.68,472.685,460.836,448.248,435.02,421.239,406.934,392.196,377.064,361.575,345.774,329.67,313.32,296.728,279.9,520,0.230769231,9,0.437532027,-0.015722941,2002.984277
Low Pt loading high performance cathodes for PEM fuel cells,Zhigang Qi,United States,H Power Corporation,2003,Pt/C,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,80,3.1,,XC-72R,30,230,none,1,0,0,,,0,ethylene glycol,1,0,0,0,10,25,0,0,0,55,225,0.409090909,,,,,,,0.4286,10,0.12,1,20,nafion 112,50,130,3,,100,1,50,150,1500,1,10,150,1500,0,,0.21,600,600,0,0.97,0.83,0.78,0.75,0.73,0.7,0.68,0.65,0.62,0.6,0.56,0.53,0.5,0.45,0.41,0.37238,0.33898,0.30914,0.2823,0.25805,0.23602,0.21592,0.19751,0.18059,0.16497,0.15052,0.13711,0.12463,0.11299,0.1021,0.0919,83,156,225,292,350,408,455,496,540,560,583,600,585,574,558.57,542.368,525.538,508.14,490.295,472.04,453.432,434.522,415.357,395.928,376.3,356.486,336.501,316.372,296.09,275.7,600,0.2,10,0.496455787,-0.000888414,2002.999112
